epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,0.383179,0.857533,0.338629,0.879700,0.00294889,94.38
2,0.276613,0.919911,0.256545,0.930100,0.00279904,83.27
3,0.253428,0.932567,0.266180,0.923100,0.00256066,82.80
4,0.233980,0.942156,0.227362,0.944100,0.00225000,81.05
5,0.225599,0.945222,0.211902,0.956700,0.00188823,82.29
6,0.213341,0.952678,0.287666,0.908500,0.00150000,82.10
7,0.206678,0.955444,0.210529,0.953200,0.00111177,81.46
8,0.197435,0.960267,0.190775,0.965100,0.00075000,82.44
9,0.191626,0.963422,0.195130,0.960800,0.00043934,82.88
10,0.182211,0.968133,0.191557,0.962600,0.00020096,81.34
11,0.177741,0.970344,0.182384,0.968400,0.00005111,80.92
12,0.172421,0.973433,0.176304,0.971100,0.00000000,82.05
