epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,0.409217,0.849956,0.284472,0.914600,0.00298153,120.35
2,0.285307,0.915422,0.255117,0.928900,0.00292658,87.53
3,0.261312,0.928433,0.274544,0.922200,0.00283651,87.03
4,0.246687,0.935189,0.248480,0.936200,0.00271353,86.91
5,0.234646,0.941589,0.204603,0.956700,0.00256066,87.43
6,0.225574,0.946822,0.199060,0.958700,0.00238168,87.29
7,0.215975,0.950989,0.193179,0.963300,0.00218099,87.25
8,0.211174,0.953900,0.189716,0.965000,0.00196353,87.21
9,0.202956,0.957722,0.185384,0.967600,0.00173465,87.26
10,0.199434,0.958522,0.180900,0.969300,0.00150000,87.29
11,0.192508,0.962589,0.177966,0.969600,0.00126535,87.27
12,0.187611,0.965578,0.175384,0.972000,0.00103647,87.07
13,0.183355,0.967333,0.172591,0.973600,0.00081901,87.27
14,0.179296,0.969611,0.170916,0.974100,0.00061832,87.32
15,0.174424,0.972211,0.168708,0.975500,0.00043934,87.36
16,0.170458,0.973689,0.168000,0.975300,0.00028647,87.19
17,0.165890,0.975967,0.166825,0.976100,0.00016349,87.31
18,0.161858,0.978311,0.166345,0.976300,0.00007342,87.37
19,0.158903,0.979978,0.165845,0.976500,0.00001847,87.27
20,0.157265,0.981056,0.165966,0.976900,0.00000000,87.06
